hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.01561797 0.33985124],21.481620285391248,0.5302593659942363,0.6801152737752162,0.968299711815562,0.7636887608069164,0.7723342939481268,0.8184438040345822,"[-7.43815806 -0.853228    0.20217235 -0.43672097 -0.30889885  1.08962832
  5.01949528  1.34276692 -2.80669804 -0.10568371  1.13935369  1.17616651]","[ 0.41241313  1.64535258  0.51722521 -0.23298348  1.41825882  0.74285017
 -0.99999992  1.45752078  0.67998741 -0.18426334  1.75862308  0.31762696]","[-2.85898006 -1.37035754  1.3096092   3.7484119  -1.56122939 -2.83749914
  1.00626722  0.61641969 -1.14364353  1.08930824 -1.80269773  0.54620271]","[ 0.44392388  1.62436291  0.56233426 -0.10063365  1.44374534  0.26873798
 -0.99999658  1.45379035  0.68928175 -0.1591774   1.64004021  0.29503113]",101.74731540679932
[1.26593525 0.01926612],20.378710801661764,0.4622093023255814,0.6540697674418605,0.9331395348837209,0.37790697674418605,0.5406976744186046,0.8023255813953488,"[ 1.7043888  -1.30471676  0.8330761  -2.47372763  1.25549307  1.0322424
  0.13316825  0.39112372 -0.15716364  4.14329669 -0.65295737 -0.66438677]","[ 0.20491352  1.44233633  0.57270126 -0.27408097  1.72875926  0.30150871
 -0.03560296  1.8         0.58145982  0.8498111   1.62615731  0.33496285]","[  1.76944444  -1.29934358   1.25432958  -7.52534405  14.37689631
   6.3648044    2.89789252  -2.39158569 -10.84270372   6.42644666
   1.59288618   4.39867654]","[ 0.23278064  1.42406365  0.64700965 -0.3497118   1.8         0.40292011
 -0.02343446  1.46355321  0.25        0.98718365  1.64555006  0.41340362]",80.87116956710815
[0.02704846 0.29473017],19.96635718496608,0.5089820359281437,0.7125748502994012,0.9461077844311377,0.8502994011976048,0.9041916167664671,0.9760479041916168,"[ 0.85303017 -0.66630389 -3.33901463 -0.90649126  1.41743727 -0.98838776
 -6.09962512  0.37149804  0.09143447 -2.4031988  -0.13407607  0.75817244]","[-0.14268271  1.6028572   0.4808353  -0.47901911  1.47316407  0.59817149
 -0.51490743  1.49140607  0.74999972 -0.4597493   1.40000011  0.59417665]","[-0.40689326 -1.40537338 -0.44786572  0.60513961  1.63817145 -2.65374128
 -4.60808213 -0.53146389  0.0199993  -1.43839944 -0.15624818 -0.27581322]","[-0.16819639  1.54321579  0.5874221  -0.40201709  1.4770291   0.48679757
 -0.53543193  1.42587031  0.74999714 -0.41124488  1.40000015  0.51057596]",74.36038208007812
[0.0514907  0.26300017],18.868685093628812,0.5103857566765578,0.6795252225519288,0.9584569732937686,0.5370919881305638,0.7181008902077152,0.9584569732937686,"[-0.51648173 -0.81148766 -1.27669625 -1.15568639  0.66526747  0.89137727
 -8.40990884 -1.69409882  0.35177826 -0.48928111 -0.13030623  0.29493962]","[ 0.72033628  1.59709285  0.60828448 -0.22803831  1.65247315  0.54000111
 -0.56090031  1.59734554  0.74999932 -0.31614639  1.40000099  0.67690364]","[ 1.72397451 -1.75914404  1.29787426 -2.03233547  0.5701402   0.7183517
  0.11766716 -2.17392329 -0.31209761 -0.62017901 -0.19919744  0.19898727]","[ 0.79931301  1.58519013  0.68382393 -0.29767085  1.66738575  0.70994764
 -0.44991997  1.60773132  0.59892481 -0.33221065  1.40002178  0.68721177]",69.79721903800964
[0.15561952 0.09417994],18.303947446154684,0.5294117647058824,0.6970588235294117,0.9382352941176471,0.538235294117647,0.7147058823529412,0.9382352941176471,"[ 1.63429897 -0.5623775  -1.30053597  1.71055836 -0.18971347  0.02026961
 -3.27338968 -2.52777342 -3.05346694  1.30038148 -0.06933465 -0.98521731]","[-0.06238795  1.5841963   0.49041548 -0.5524656   1.48295737  0.36029637
  0.23655621  1.71514574  0.37047785 -0.34143898  1.40000359  0.55947733]","[ 2.04879416 -0.82458256 -1.51549838  2.12016688 -0.67343525 -0.55950458
 -2.27260837 -2.50867102 -1.93838909  3.75431323  0.33110429 -3.38152238]","[-0.05963543  1.57413881  0.48105952 -0.5404693   1.47792126  0.35229105
  0.24871641  1.70992369  0.39999122 -0.25104178  1.438855    0.40413682]",70.1752417087555
[0.19886122 0.08508424],20.242001233692324,0.5578635014836796,0.7210682492581603,0.9643916913946587,0.10089020771513353,0.1572700296735905,0.36795252225519287,"[ 5.28673321 -0.99340263  0.63170894 -0.30290064 -1.0526402   1.09731486
 -1.33253924  0.37321872 -2.37180791 -0.28587512 -0.10629459  0.10817734]","[-0.60993305  1.40486567  0.53862435 -0.33903473  1.43230831  0.6198629
  0.05515216  1.67039565  0.31177761 -0.30098928  1.44342539  0.74888302]","[ 5.21779921 -0.84699063  0.72005752 -0.83803922 -0.3493412   1.65313596
 -2.70049908  0.08450293 -4.84548603 -0.95163107  1.16081103  0.17230557]","[-0.61040734  1.4073686   0.5400808  -0.36418334  1.40486235  0.66298906
  0.04999883  1.65037137  0.26109465 -0.30532336  1.61871678  0.74998504]",79.81117534637451
[0.27400895 0.06107808],23.01284950214125,0.4940119760479042,0.6616766467065869,0.9550898203592815,0.36227544910179643,0.49101796407185627,0.7754491017964071,"[ -6.87437409  -1.95648984   2.63077918   1.54223158  -0.89629572
  -0.56677543 -14.56039429  -0.5036907    0.4566016    1.45925015
   1.41611057  -1.14729377]","[-0.35962744  1.40000012  0.65728634  0.37738788  1.73305911  0.52282703
 -0.51001032  1.60916745  0.74997871  0.19011575  1.45801158  0.31106572]","[ -7.0436554   -1.26316814   2.94582703   1.40405817  -2.60532638
  -0.41852685 -16.08741322  -2.25896588   0.56389624   0.92588349
   1.42575821  -3.85832755]","[-0.37120061  1.40000017  0.67467415  0.38331561  1.67613698  0.52703842
 -0.52408127  1.49962126  0.74997592  0.17443863  1.44815669  0.26034705]",83.11280179023743
[0.07146928 0.21134556],23.38969194821334,0.4666666666666667,0.6696969696969697,0.9333333333333333,0.3787878787878788,0.5515151515151515,0.8818181818181818,"[ 7.98109992  0.29500173 -1.19488536  3.10938347  0.10627716 -0.57582801
  0.6559487   0.55967478  0.24504659  7.80499284  2.56591399 -4.76532254]","[-0.11086447  1.56903309  0.28213868 -0.17858869  1.49469297  0.29965125
 -0.44174386  1.5443244   0.74983755 -0.26811238  1.50745143  0.38282528]","[ 8.23224029  1.21293986 -1.14052234  2.434913    1.1142194  -0.16549672
  0.76340814  1.9943504  -0.01429952 10.97701659  5.59318555 -7.35895524]","[-0.11043618  1.57603231  0.28229833 -0.18209128  1.51492249  0.30849001
 -0.38444099  1.60142063  0.62517312 -0.2511817   1.55371986  0.34306558]",69.19509172439575
[0.16661503 0.09276154],19.89596422134442,0.5614035087719298,0.7251461988304093,0.956140350877193,0.3362573099415205,0.4766081871345029,0.7046783625730995,"[-7.98440866 -0.10324513  0.6938658   0.85388435  0.73182743  0.07473808
 -4.01783642 -0.22942044 -0.26378507 -2.80114347 -1.0501828  -1.14192474]","[-0.19436901  1.67027197  0.33922562  0.02841876  1.8         0.35408382
 -0.29769451  1.72462527  0.3240332  -0.52995391  1.6083207   0.40957249]","[-8.59575402 -0.22243837  1.01397953  4.75676821  0.52794415  0.83649937
 -4.41064153  0.21793411  0.17808678 -2.83346452  0.07753562 -1.52579019]","[-0.19733716  1.6695212   0.34249399  0.06248101  1.79999984  0.74999229
 -0.30740373  1.73190906  0.33377813 -0.51614005  1.62904799  0.40668336]",95.26120972633362
[0.08932643 0.15855571],25.583966086461288,0.4797687861271676,0.6820809248554913,0.9450867052023122,0.5289017341040463,0.7167630057803468,0.9653179190751445,"[-0.636219   -1.53778315  0.440651   -0.64336297  0.9736878  -0.9437256
  0.16968626  1.65744647 -0.26322911  1.21448066 -0.61722408  0.54830629]","[-0.25582487  1.65702111  0.28147305  0.14915565  1.74310661  0.36464275
  0.22036972  1.63516233  0.42611175  0.50388505  1.42331819  0.31007176]","[-0.78726966 -2.06160872  1.18877592  1.51494713  0.35847788  0.93414852
 -0.64038841  2.64095736 -1.16739175  1.63137263 -1.49642619  0.84457635]","[-0.25619037  1.65574077  0.28509406  0.1857939   1.79999698  0.45386437
  0.20306659  1.65391998  0.38764308  0.51034018  1.41362194  0.31149725]",84.4891471862793
[0.08733859 0.15893817],19.058133870757665,0.4807121661721068,0.6884272997032641,0.9554896142433235,0.49258160237388726,0.685459940652819,0.9554896142433235,"[-0.22395471 -0.38413912 -1.43152778  0.43005868 -0.04079701  0.12431443
  1.43397807 -0.00559193 -2.09883286 -0.71774687  0.30411374 -0.34368537]","[-0.35106224  1.69175387  0.4338207   0.43640323  1.40000021  0.61292506
 -0.15932975  1.52014834  0.36334746 -0.3622664   1.63163709  0.34146102]","[ 0.71113726 -1.1019959  -2.47918995  0.15777595 -0.35435145  0.22506599
  1.87548013 -0.05087843 -2.99610336 -0.83011146  0.22536377 -1.36576187]","[-0.34170009  1.68605034  0.42122378  0.42755882  1.40000036  0.62081874
 -0.15509255  1.51887411  0.34003803 -0.36185929  1.62984828  0.32769048]",97.98506021499634
[0.05116551 0.26304913],20.52581590622328,0.4716417910447761,0.6805970149253732,0.9611940298507463,0.6328358208955224,0.7820895522388059,0.9731343283582089,"[-2.65130927 -1.04552349 -2.91907784 -0.63101505 -1.00517944  1.16175493
 -1.44193733 -1.104986    0.16072829 -2.29452068 -2.49972841 -3.77057726]","[ 0.67271836  1.688291    0.59668528 -0.26971589  1.4321456   0.42159777
 -0.61954963  1.40933457  0.74870581  0.35273105  1.60932027  0.42833124]","[-3.58043685 -0.62012046 -3.99929549  3.55444594  0.62920253 -3.16214709
 -0.74553878 -2.8738837   0.41173367  4.20035508  1.42690219  0.26593715]","[ 0.648667    1.69231782  0.57148067 -0.21292542  1.47629414  0.31277204
 -0.59898175  1.40000001  0.70751591  0.58654281  1.77813595  0.74959377]",87.83134317398071
[0.05550997 0.25292592],12.770712540943705,0.5103244837758112,0.7138643067846607,0.9557522123893806,0.35103244837758113,0.49852507374631266,0.8230088495575221,"[-0.44927144 -0.20321654 -0.80151686  4.58969437  0.80330584  0.5068584
 -2.80060471 -0.63164803  0.88671348  0.91666874  2.23419211 -0.04935778]","[ 0.00621906  1.69245471  0.37986255  0.1968637   1.67801064  0.31610464
 -0.94041893  1.53214966  0.66494391  0.69413859  1.59121574  0.68373239]","[ 1.20121318  0.15591346  0.07798153  5.24213754  1.07245508  1.66255081
 -2.9034048  -0.28234414  1.14264244 10.33328849  1.39476755  0.11974029]","[ 0.01575343  1.79999439  0.74971938  0.20543571  1.6841987   0.3431279
 -0.94984264  1.54189973  0.68468082  0.74452829  1.56723277  0.74998198]",120.45554685592651
[0.01143303 0.28715016],18.35431507185484,0.5059171597633136,0.6834319526627219,0.9497041420118343,0.8313609467455622,0.878698224852071,0.9644970414201184,"[-1.91889354e+00 -1.13765568e+00  2.79373712e-01 -1.02386343e+00
  7.89638294e-01 -5.27581696e-01 -9.52120900e-01  9.72454255e-02
  8.62273168e-02  3.12238153e+00  2.44191852e-03  1.93183338e-02]","[ 0.36457504  1.60090828  0.56085913  0.0452115   1.5490206   0.45898598
  0.42732868  1.60407696  0.54790174 -0.40238909  1.63191551  0.74997225]","[-2.04198439 -1.29294046 -0.48943355 -1.77753295 -0.09067984 -0.96975214
 -1.18789957 -0.72490598 -0.40749897  0.19634587  0.06342824  0.01481864]","[ 0.34579286  1.58990394  0.52515348  0.02578569  1.40000009  0.39512924
  0.39664476  1.56777271  0.49941304 -0.45366783  1.64081747  0.749856  ]",101.07733607292175
[0.00752558 0.29791282],25.46463301963545,0.4783861671469741,0.6772334293948127,0.962536023054755,0.8242074927953891,0.8760806916426513,0.968299711815562,"[-10.00113106   0.49272231   0.1645118    1.14737704  -1.00623562
   0.33161712   0.74834573  -0.44490179  -0.46036945  -0.45258395
  -0.62668178  -1.61090232]","[-0.77768689  1.60056365  0.74999838  0.14291691  1.49638247  0.74988784
  0.63851292  1.535791    0.45735972 -0.34621619  1.76498919  0.33008277]","[-0.35439903  1.02908693 -0.17336181  0.32800106  0.15637162  0.33116609
  0.20815758 -0.35364913 -0.30255497  1.02737902 -2.23981953 -1.43616693]","[-0.75912146  1.61651865  0.73214522  0.16161533  1.799995    0.74713228
  0.62719592  1.53473944  0.45517833 -0.31247383  1.72634459  0.31620953]",98.49007630348206
[0.16228175 0.0780838 ],28.67710472300545,0.49709302325581395,0.6976744186046512,0.9505813953488372,0.37790697674418605,0.47093023255813954,0.7558139534883721,"[-4.37215624  1.83386104  0.08400492  2.54265924  0.61949644 -1.7367719
  2.91319632  0.13464422  0.093424    4.50060128 -1.22606103  1.42673474]","[ 0.33022494  1.65452722  0.35774765 -0.37632012  1.58473242  0.59313325
 -0.41991491  1.58679514  0.28263513  0.80621353  1.58592432  0.74999913]","[-5.79776717  3.47604563 -1.30175141  1.38968286  0.9122242  -0.83674292
  1.84303423 -0.54230642  0.22886179  4.48925571 -2.71151394  0.41100901]","[ 0.32159635  1.66160191  0.34642231 -0.40615245  1.60768798  0.64675379
 -0.42982263  1.58251956  0.28385647  0.8111011   1.49575873  0.74999801]",80.04843640327454
[0.10806298 0.11298383],19.028525787365975,0.44476744186046513,0.622093023255814,0.9244186046511628,0.47093023255813954,0.7005813953488372,0.9273255813953488,"[-4.34692668 -0.32630174  0.33313653 -2.08220654 -1.24883563  1.80205284
  0.35009001 -0.77795563 -1.51028572  0.03002425 -0.10345605  0.01199543]","[-0.13966354  1.40000011  0.74999715 -0.79912411  1.44074265  0.68047327
  0.55486263  1.60946241  0.33485084  0.10625787  1.40000057  0.67401829]","[-4.08288168  0.10648237  1.182044   -3.72052705 -0.31941696  3.10236962
  0.93512996 -2.52328173 -0.82188663  0.85015967  0.42976599  0.16524986]","[-0.13996674  1.43533517  0.74999946 -0.84448143  1.40000146  0.71785697
  0.56409427  1.59691131  0.34169132  0.1183915   1.57344371  0.7499446 ]",74.67952108383179
[0.02633475 0.29670285],24.764198246280735,0.46938775510204084,0.6822157434402333,0.9358600583090378,0.8513119533527697,0.9037900874635568,0.967930029154519,"[ 1.69587421 -0.69253303  0.05600868  0.92895702 -0.60777261  0.41942814
 -1.18959334 -0.34858907  0.1273526   3.08853103  0.26781782 -2.29807935]","[-3.92954835e-01  1.75729326e+00  4.89793789e-01 -3.18324150e-01
  1.58744802e+00  7.49999529e-01  6.16536604e-04  1.40059387e+00
  7.49403770e-01 -3.88567046e-01  1.53461077e+00  4.51578363e-01]","[-0.66509981  0.12627994  1.75274463  1.14138031 -0.59715784  0.11219645
 -4.05640637 -1.84570295 -1.40664634  4.70080031  0.28445102 -4.62059995]","[-0.42796092  1.79999989  0.52556315 -0.31050574  1.54946067  0.74999918
 -0.01550365  1.4         0.25000029 -0.33922856  1.53693721  0.36395013]",71.1181252002716
[0.0078631  0.29823557],35.39056156339228,0.4839650145772595,0.6880466472303207,0.9300291545189504,0.8629737609329446,0.9300291545189504,1.0,"[ 0.14423248 -0.16726325  0.48721436  2.69907127  1.03224427 -2.60767152
  0.67878685 -1.91182773  0.56524449 -1.019666   -1.45670996 -1.52935889]","[ 0.26928776  1.76998664  0.5821937  -0.37809612  1.50919208  0.38148562
  0.51891063  1.45173559  0.50989439  0.0853355   1.59016853  0.33191498]","[ 0.43902578  0.05778746  0.85678     1.3209701   0.81420995 -1.83888749
  1.14447782 -1.67862245  0.98753293 -0.45517942 -0.03986029 -0.03883694]","[ 0.28101585  1.79950946  0.62269199 -0.38588737  1.51268727  0.37327241
  0.55562301  1.40000048  0.54726966  0.07409198  1.66750943  0.46269316]",105.93017387390137
[0.08080398 0.15116754],21.444244260282403,0.46,0.6457142857142857,0.94,0.54,0.7571428571428571,0.9714285714285714,"[-0.67349593  0.1197556   0.65100673  1.35759225 -0.19595064  1.33226637
  0.90047719  0.69356251 -0.29049669  1.76957648 -1.44312431  1.58444065]","[-0.31517143  1.8         0.62942787  0.23835528  1.40000023  0.64159602
 -0.09023515  1.79996179  0.56588797  0.42725782  1.45424338  0.46315638]","[ 0.62825082  0.51301416 -0.65190042  1.29780757 -0.21476796  1.19350448
  1.32774998  1.68187251 -1.13351502  2.02241115 -1.51656147  1.8840805 ]","[-0.28718131  1.79193927  0.5693813   0.23510141  1.4         0.62894308
 -0.07420804  1.73361115  0.41897874  0.46607446  1.44545133  0.50741632]",61.33330845832825
[0.5785553  0.03858428],31.00785296422424,0.5221238938053098,0.6932153392330384,0.9557522123893806,0.15634218289085547,0.23008849557522124,0.41887905604719766,"[ 6.35577233 -1.949949   -0.09319967  6.34330816  0.80360181 -2.33232079
 27.31121609 -1.45837151  0.97542632 -0.04988117  0.35048972  1.0078068 ]","[-0.04681526  1.615098    0.32946377 -0.08449251  1.57716968  0.38246356
 -0.84527852  1.46258998  0.5256891  -0.09745906  1.75910997  0.74716468]","[ 3.66767186 -0.12243073  0.18764146  3.55914458  0.18309726 -1.19446757
  8.29962249 -1.24530791  2.88669156 -0.02559795 -0.94302435  0.68312779]","[-0.04755376  1.66104679  0.33906705 -0.08736691  1.56627224  0.41330538
 -0.91359856  1.45880803  0.58136964 -0.09291727  1.43645714  0.7465672 ]",94.17051792144775
[0.06400753 0.22872541],17.454081667121706,0.5485714285714286,0.7142857142857143,0.9457142857142857,0.36857142857142855,0.4857142857142857,0.7971428571428572,"[-2.12039589  0.14411377  0.69826086 -0.33095863 -0.08419143 -0.13555954
  0.12197888 -0.06723412  0.47046093  3.46069838 -0.81302161 -0.65344366]","[ 0.43300382  1.40887981  0.43926592  0.291314    1.48423653  0.65843263
 -0.4516922   1.40000584  0.63362315 -0.37242171  1.49924126  0.27759086]","[-3.24794899  0.80310274 -0.05842189 -2.82872132  0.41308231 -3.04335794
  0.18221086 -0.67607168  0.67310305  1.69737421 -1.4079054   1.49557201]","[ 0.42521782  1.41357423  0.4297352   0.22265906  1.50984716  0.46594151
 -0.4492135   1.4000007   0.64799669 -0.39312338  1.49106805  0.30807442]",98.02640509605408
[0.0907772  0.14580946],8.09242875166233,0.4666666666666667,0.6492753623188405,0.9333333333333333,0.11304347826086956,0.1681159420289855,0.4,"[-4.73859447  0.7051997   0.79796487  1.81990578 -1.10003585 -0.19121941
  1.23736869 -1.58494681  0.83361215  5.64449838  0.05144565  0.00684197]","[ 0.56551872  1.72867041  0.51723384 -0.39700827  1.69432021  0.65250499
 -0.17520992  1.61619213  0.28341515 -0.61507427  1.71854802  0.74999994]","[-6.05825152e+00  3.24798740e+00  1.65062941e+00  9.12525623e-01
 -1.49351147e+00  1.46079919e-01  5.55221331e-01 -3.26265181e+00
  1.53345372e+00  4.98067533e+00 -2.97346335e-01  4.39214918e-03]","[ 0.57745063  1.75074475  0.52188768 -0.43715047  1.65489835  0.74181352
 -0.1823419   1.59350723  0.29492663 -0.60497421  1.69433628  0.74987548]",88.96118378639221
[0.84975167 0.02730024],20.70738084249346,0.48703170028818443,0.6858789625360231,0.9394812680115274,0.3861671469740634,0.553314121037464,0.8818443804034583,"[ 5.94848412  0.55264044 -0.41822645 -1.96578148  1.07843665  0.81755583
 -0.98488179 -0.17840146  0.19338243 -2.41188098 -0.04878061  0.19803035]","[ 0.32599696  1.68282067  0.28566531 -0.37251444  1.8         0.64363537
 -0.07922612  1.6431804   0.36051189 -0.25757907  1.4719195   0.749999  ]","[ 7.87764678  0.6229225   3.88598292 -1.83571917  3.26805742  1.00779752
 -1.22468334 -0.13563932  0.4349577   2.42932111  0.72722407 -3.00947195]","[ 0.33986017  1.68335023  0.30836005 -0.38017225  1.79999999  0.67409797
 -0.09291542  1.64455586  0.39551857 -0.13883561  1.53310707  0.3945978 ]",98.3333945274353
[0.07251518 0.17617318],14.10951484753604,0.4868035190615836,0.6510263929618768,0.9296187683284457,0.30791788856304986,0.41935483870967744,0.6451612903225806,"[ 3.55219076 -0.12003665 -0.46044855  0.95023769 -0.92724203 -0.30519379
  0.11759692  1.079094   -0.32513376 -0.22526677 -0.83185384 -1.72980629]","[ 0.68816322  1.45451102  0.55337866  0.2403636   1.63162416  0.46291467
 -0.0720292   1.60623703  0.49833152  0.48315385  1.4889853   0.46880844]","[ 2.9297077   1.45580672 -1.78382436  0.83353428 -1.57256063 -0.85611221
 -0.02744256 -0.27905183 -1.03087003 -0.17806909 -0.34447807 -1.91460755]","[ 0.66855368  1.46798067  0.53503871  0.23703247  1.61423143  0.43385112
 -0.07706747  1.40000136  0.47253165  0.48512466  1.5054968   0.45914317]",77.25202441215515
[0.05998452 0.20523377],20.478236720174444,0.4941860465116279,0.6511627906976745,0.9418604651162791,0.5784883720930233,0.7441860465116279,0.9709302325581395,"[-0.12590572  0.00926548 -0.03054669 -0.04650894  1.9307362  -0.23759733
  0.97221752 -0.00840859  1.25791549  0.87706442 -0.96472281 -1.83755289]","[ 0.20594136  1.41114471  0.681457    0.50386577  1.79999993  0.69230434
  0.62207562  1.49324505  0.49733458 -0.03904878  1.40000002  0.25000001]","[-1.35411263  0.62824108 -1.64672598  1.66292089  1.35734741  0.40205233
  0.97534833 -0.62552518  1.28528062  0.8586545  -0.18493463 -0.75474934]","[ 0.17723572  1.43939831  0.55136221  0.54532481  1.79981844  0.74766503
  0.62745202  1.47794785  0.50310508 -0.03629901  1.47540948  0.26681142]",78.25187587738037
[0.24931402 0.0702725 ],21.519757525471853,0.5189504373177842,0.6880466472303207,0.9446064139941691,0.13994169096209913,0.21574344023323616,0.4752186588921283,"[ 5.73204165  0.6697733  -0.7019709  -5.2356672  -1.25742368  0.14076565
  2.48869458  1.43329774 -1.24986884 -1.94144485  0.74827149 -0.86025492]","[-0.43658039  1.64318482  0.57889539  0.31342655  1.67876672  0.74996509
 -0.2179272   1.72625958  0.47665493  0.21611499  1.63084104  0.49272717]","[ 9.30069902  0.11996163 -2.8674973  -1.57467744 -1.44153806  0.11458738
  0.9818667   1.4733559  -0.32502342  1.27504711  0.64088484  0.31620051]","[-0.40593233  1.63563539  0.53012488  0.31677905  1.66237447  0.74606368
 -0.25542302  1.74918504  0.55146161  0.32310532  1.66247271  0.74997459]",102.7259464263916
[0.05251463 0.25795903],25.8592137854243,0.5043227665706052,0.7204610951008645,0.9481268011527377,0.40057636887608067,0.5677233429394812,0.8530259365994236,"[-1.62736383 -0.89803288 -0.44488915 -2.0918962   0.00412344 -0.59679507
 -0.18983095 -0.38309037  0.50068472  0.54278065  0.11215835  0.37864242]","[ 0.27404569  1.57181709  0.58364988  0.59445114  1.75911678  0.487867
  0.58322395  1.49340665  0.64932584 -0.68000458  1.49153346  0.55209395]","[ 7.79704723 -1.0897095   0.45505405 -1.07049886 -0.84791528  0.19187519
  0.06917208 -0.94077845  0.70289688  2.51880413  1.11952017 -1.18186945]","[ 0.34818738  1.55013084  0.74999512  0.61893432  1.73257673  0.51761234
  0.6095955   1.45123061  0.67914878 -0.58310379  1.51476847  0.4651755 ]",124.0152039527893
[0.05056666 0.26251551],25.041592663970356,0.49258160237388726,0.6706231454005934,0.9525222551928784,0.56973293768546,0.7359050445103857,0.9762611275964391,"[-0.10408097  0.79615097  0.05383675 -0.27994584  1.07046165  1.17884445
 -0.43527011  0.04128727 -0.19578527  1.27767492  0.14332756 -0.95677739]","[ 0.09874435  1.59810395  0.70644847 -0.63845897  1.79999999  0.61621598
  0.65506496  1.46349409  0.68828403 -0.17104698  1.67159172  0.35057775]","[-0.28528453  1.25795053  0.21240419 -1.20820754  0.68715189  1.73575704
 -0.64207456  0.65521924 -0.25200217  1.22969482 -0.20618676 -1.34065648]","[ 0.09906653  1.66377664  0.74917939 -0.68391369  1.79999999  0.65755109
  0.63416572  1.49598207  0.68172642 -0.17390339  1.6604211   0.34180162]",94.48934483528137
[1.2865989  0.02276597],35.01860108268033,0.4789156626506024,0.677710843373494,0.9397590361445783,0.5090361445783133,0.6867469879518072,0.9397590361445783,"[-0.66707045  0.5401636  -0.6868078  -0.67277645  0.44235131 -0.43967378
  3.9837808  -0.0877566  -6.17142807 -0.65843153  1.01440607 -0.74934039]","[-0.54761742  1.50726584  0.48658238  0.16570512  1.7423781   0.46796332
 -0.09140247  1.58208255  0.2764252  -0.41707822  1.43281129  0.32664187]","[-3.9254761  -2.59478041  3.31331185  0.39370432  0.3085808   0.65195603
  1.06068364  0.79661863 -1.46382198 -2.70871276 -2.11887739  1.66826465]","[-0.6437082   1.47136295  0.58254778  0.19993902  1.79999708  0.57135423
 -0.10599764  1.63050762  0.3752482  -0.45408759  1.4         0.37196378]",66.42060089111328
[0.05026561 0.21674193],11.424757249606156,0.49122807017543857,0.6695906432748538,0.935672514619883,0.5497076023391813,0.783625730994152,0.9824561403508771,"[-1.60574919  0.87706331  0.03892335 -0.82467717  0.35309278  0.17648382
 -1.12790586  0.25541363 -1.57100292 -0.88664357  1.26733684 -0.5979354 ]","[-0.32430592  1.76354973  0.74974763 -0.14408375  1.62745619  0.74949223
  0.59314811  1.79800694  0.27184561  0.31142028  1.53798728  0.44360948]","[ 0.52510169  1.01772675 -0.91995794 -1.04694925 -0.46734968  0.16438367
 -1.87835041 -0.51033587 -2.48253236  0.12758121  1.5348134   0.51550478]","[-0.29060522  1.78643197  0.65438709 -0.14809315  1.4         0.74999995
  0.58227946  1.79286987  0.26495484  0.34759656  1.54598754  0.51839143]",110.26172304153442
[0.14162999 0.09696585],19.864161076175527,0.5057803468208093,0.7167630057803468,0.953757225433526,0.3468208092485549,0.5173410404624278,0.7890173410404624,"[ 4.17713439 -1.17167267 -2.51386706 -5.28067395 -0.63119987  0.48596395
  5.39776913 -2.45349862 -2.85874936 -0.2352998  -0.34984638  0.74374546]","[-0.1862394   1.74411411  0.47030075  0.36855594  1.5091962   0.30143044
 -0.27511508  1.69193712  0.26121257 -0.19977849  1.63932333  0.38478556]","[ 4.00501214 -0.6354839  -2.73821945 -5.18740403 -0.06509399  0.04614358
  5.12291009 -1.36913974 -3.41108916  0.19623795  0.023232    0.56861823]","[-0.18797132  1.75899052  0.46620221  0.3656009   1.51443509  0.2964943
 -0.27958987  1.70285088  0.2585377  -0.18634742  1.65415596  0.3708757 ]",98.027996301651
[0.07426156 0.13985659],19.12414929888793,0.4332344213649852,0.6498516320474778,0.9406528189910979,0.1632047477744807,0.20771513353115728,0.3768545994065282,"[-8.88988705 -0.29338599  0.41573181 -4.59298791 -1.29213337 -0.3086668
  6.39372488  0.30988499 -0.10697546  3.09804147  0.36482815  0.12664109]","[ 0.17024878  1.40660599  0.34908864  0.23943563  1.57278879  0.40162994
 -0.44558658  1.50477533  0.43002785 -0.82259319  1.64318482  0.60953555]","[-8.3756218  -0.30059504 -0.11261732 -3.48681638 -1.25551144 -0.18889194
  3.43774857 -0.92339489  0.57286319  3.21769178  0.44962706 -0.08549314]","[ 0.163912    1.40570608  0.33929119  0.23921666  1.56630814  0.40502962
 -0.48524371  1.46810421  0.46239634 -0.79910523  1.6453004   0.58926724]",74.497323513031
[0.05436598 0.25115729],20.694413747525296,0.48265895953757226,0.6647398843930635,0.930635838150289,0.5086705202312138,0.653179190751445,0.8728323699421965,"[-0.27372276 -0.46123531 -1.03588551  1.67997298  0.21116904 -1.78459501
  0.89928848 -0.02413934  0.38556989  1.34760483 -2.41160608 -1.66879127]","[0.03301814 1.46708402 0.45221897 0.64758824 1.55273041 0.55978959
 0.11935383 1.40000009 0.60497249 0.67719309 1.6832441  0.46978045]","[-1.39789162 -0.45746414 -2.49401301  1.2377533   0.30831056 -1.64833681
 -3.5439936  -0.44164083 -0.66990901  1.62673935 -1.02847246 -0.68256074]","[0.02606676 1.42238583 0.36627711 0.64018516 1.55627851 0.5532639
 0.05884052 1.4        0.25000107 0.71765151 1.70753771 0.50130758]",118.43637728691101
